fate,count,library,sample
valid barcode,18785073,Fc-Lib01,exp01-none-0-reference
invalid barcode,11793631,Fc-Lib01,exp01-none-0-reference
low quality barcode,2171256,Fc-Lib01,exp01-none-0-reference
unparseable barcode,1965188,Fc-Lib01,exp01-none-0-reference
failed chastity filter,0,Fc-Lib01,exp01-none-0-reference
valid barcode,22937917,Fc-Lib01,exp02-JD280top-2000-escape
invalid barcode,14228774,Fc-Lib01,exp02-JD280top-2000-escape
low quality barcode,2786510,Fc-Lib01,exp02-JD280top-2000-escape
unparseable barcode,1804160,Fc-Lib01,exp02-JD280top-2000-escape
failed chastity filter,0,Fc-Lib01,exp02-JD280top-2000-escape
valid barcode,14582348,Fc-Lib01,exp03-JD280bottom-2000-escape
invalid barcode,10210158,Fc-Lib01,exp03-JD280bottom-2000-escape
low quality barcode,2045263,Fc-Lib01,exp03-JD280bottom-2000-escape
unparseable barcode,1197209,Fc-Lib01,exp03-JD280bottom-2000-escape
failed chastity filter,0,Fc-Lib01,exp03-JD280bottom-2000-escape
