fate,count,library,sample
valid barcode,18785073,Fc-Lib01,exp01-none-0-reference
invalid barcode,11793631,Fc-Lib01,exp01-none-0-reference
low quality barcode,2171256,Fc-Lib01,exp01-none-0-reference
unparseable barcode,1965188,Fc-Lib01,exp01-none-0-reference
failed chastity filter,0,Fc-Lib01,exp01-none-0-reference
valid barcode,19838205,Fc-Lib01,exp02-JD282top-2000-escape
invalid barcode,12068245,Fc-Lib01,exp02-JD282top-2000-escape
low quality barcode,2442315,Fc-Lib01,exp02-JD282top-2000-escape
unparseable barcode,1569580,Fc-Lib01,exp02-JD282top-2000-escape
failed chastity filter,0,Fc-Lib01,exp02-JD282top-2000-escape
valid barcode,19220652,Fc-Lib01,exp03-JD282bottom-2000-escape
invalid barcode,14066190,Fc-Lib01,exp03-JD282bottom-2000-escape
low quality barcode,2335346,Fc-Lib01,exp03-JD282bottom-2000-escape
unparseable barcode,1549105,Fc-Lib01,exp03-JD282bottom-2000-escape
failed chastity filter,0,Fc-Lib01,exp03-JD282bottom-2000-escape
