fate,count,library,sample
valid barcode,2957662,Fc-Lib01,SortSeq_bin1
invalid barcode,1805611,Fc-Lib01,SortSeq_bin1
low quality barcode,718143,Fc-Lib01,SortSeq_bin1
unparseable barcode,313027,Fc-Lib01,SortSeq_bin1
failed chastity filter,0,Fc-Lib01,SortSeq_bin1
valid barcode,3362940,Fc-Lib01,SortSeq_bin2
invalid barcode,2001267,Fc-Lib01,SortSeq_bin2
low quality barcode,913531,Fc-Lib01,SortSeq_bin2
unparseable barcode,519158,Fc-Lib01,SortSeq_bin2
failed chastity filter,0,Fc-Lib01,SortSeq_bin2
unparseable barcode,3935121,Fc-Lib01,SortSeq_bin3
valid barcode,575033,Fc-Lib01,SortSeq_bin3
invalid barcode,255294,Fc-Lib01,SortSeq_bin3
low quality barcode,111974,Fc-Lib01,SortSeq_bin3
failed chastity filter,0,Fc-Lib01,SortSeq_bin3
unparseable barcode,1,Fc-Lib01,SortSeq_bin4
failed chastity filter,0,Fc-Lib01,SortSeq_bin4
invalid barcode,0,Fc-Lib01,SortSeq_bin4
low quality barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,3346037,Fc-Lib01,TiteSeq_0.001931_bin1
invalid barcode,2058170,Fc-Lib01,TiteSeq_0.001931_bin1
low quality barcode,868460,Fc-Lib01,TiteSeq_0.001931_bin1
unparseable barcode,362417,Fc-Lib01,TiteSeq_0.001931_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.001931_bin1
valid barcode,2791026,Fc-Lib01,TiteSeq_0.001931_bin2
invalid barcode,1690776,Fc-Lib01,TiteSeq_0.001931_bin2
low quality barcode,732032,Fc-Lib01,TiteSeq_0.001931_bin2
unparseable barcode,268466,Fc-Lib01,TiteSeq_0.001931_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.001931_bin2
unparseable barcode,1652894,Fc-Lib01,TiteSeq_0.001931_bin3
valid barcode,1184675,Fc-Lib01,TiteSeq_0.001931_bin3
invalid barcode,680577,Fc-Lib01,TiteSeq_0.001931_bin3
low quality barcode,291398,Fc-Lib01,TiteSeq_0.001931_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.001931_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.001931_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.001931_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.001931_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.001931_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.001931_bin4
valid barcode,3161679,Fc-Lib01,TiteSeq_0.005792_bin1
invalid barcode,2008949,Fc-Lib01,TiteSeq_0.005792_bin1
low quality barcode,843840,Fc-Lib01,TiteSeq_0.005792_bin1
unparseable barcode,324047,Fc-Lib01,TiteSeq_0.005792_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.005792_bin1
valid barcode,3350341,Fc-Lib01,TiteSeq_0.005792_bin2
invalid barcode,2013815,Fc-Lib01,TiteSeq_0.005792_bin2
low quality barcode,845730,Fc-Lib01,TiteSeq_0.005792_bin2
unparseable barcode,348739,Fc-Lib01,TiteSeq_0.005792_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.005792_bin2
valid barcode,2932917,Fc-Lib01,TiteSeq_0.005792_bin3
invalid barcode,1798811,Fc-Lib01,TiteSeq_0.005792_bin3
low quality barcode,827907,Fc-Lib01,TiteSeq_0.005792_bin3
unparseable barcode,640968,Fc-Lib01,TiteSeq_0.005792_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.005792_bin3
unparseable barcode,2862175,Fc-Lib01,TiteSeq_0.005792_bin4
valid barcode,1593187,Fc-Lib01,TiteSeq_0.005792_bin4
invalid barcode,931957,Fc-Lib01,TiteSeq_0.005792_bin4
low quality barcode,361790,Fc-Lib01,TiteSeq_0.005792_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.005792_bin4
