fate,count,library,sample
valid barcode,3293531,Fc-Lib01,SortSeq_bin1
invalid barcode,2046041,Fc-Lib01,SortSeq_bin1
low quality barcode,541381,Fc-Lib01,SortSeq_bin1
unparseable barcode,347635,Fc-Lib01,SortSeq_bin1
failed chastity filter,0,Fc-Lib01,SortSeq_bin1
unparseable barcode,3527935,Fc-Lib01,SortSeq_bin2
valid barcode,1607684,Fc-Lib01,SortSeq_bin2
invalid barcode,1027578,Fc-Lib01,SortSeq_bin2
low quality barcode,399355,Fc-Lib01,SortSeq_bin2
failed chastity filter,0,Fc-Lib01,SortSeq_bin2
unparseable barcode,1,Fc-Lib01,SortSeq_bin3
failed chastity filter,0,Fc-Lib01,SortSeq_bin3
invalid barcode,0,Fc-Lib01,SortSeq_bin3
low quality barcode,0,Fc-Lib01,SortSeq_bin3
valid barcode,0,Fc-Lib01,SortSeq_bin3
unparseable barcode,1,Fc-Lib01,SortSeq_bin4
failed chastity filter,0,Fc-Lib01,SortSeq_bin4
invalid barcode,0,Fc-Lib01,SortSeq_bin4
low quality barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,3162573,Fc-Lib01,TiteSeq_0.002552_bin1
invalid barcode,1976593,Fc-Lib01,TiteSeq_0.002552_bin1
low quality barcode,549198,Fc-Lib01,TiteSeq_0.002552_bin1
unparseable barcode,406824,Fc-Lib01,TiteSeq_0.002552_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002552_bin1
valid barcode,3126940,Fc-Lib01,TiteSeq_0.002552_bin2
invalid barcode,1962129,Fc-Lib01,TiteSeq_0.002552_bin2
unparseable barcode,1019376,Fc-Lib01,TiteSeq_0.002552_bin2
low quality barcode,547708,Fc-Lib01,TiteSeq_0.002552_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002552_bin2
unparseable barcode,1,Fc-Lib01,TiteSeq_0.002552_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002552_bin3
invalid barcode,0,Fc-Lib01,TiteSeq_0.002552_bin3
low quality barcode,0,Fc-Lib01,TiteSeq_0.002552_bin3
valid barcode,0,Fc-Lib01,TiteSeq_0.002552_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.002552_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002552_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.002552_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.002552_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.002552_bin4
valid barcode,2933511,Fc-Lib01,TiteSeq_0.007655_bin1
invalid barcode,1838446,Fc-Lib01,TiteSeq_0.007655_bin1
low quality barcode,549513,Fc-Lib01,TiteSeq_0.007655_bin1
unparseable barcode,412390,Fc-Lib01,TiteSeq_0.007655_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.007655_bin1
valid barcode,2861476,Fc-Lib01,TiteSeq_0.007655_bin2
invalid barcode,1746227,Fc-Lib01,TiteSeq_0.007655_bin2
low quality barcode,452946,Fc-Lib01,TiteSeq_0.007655_bin2
unparseable barcode,358544,Fc-Lib01,TiteSeq_0.007655_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.007655_bin2
