fate,count,library,sample
valid barcode,3420207,Fc-Lib01,SortSeq_bin1
invalid barcode,2105047,Fc-Lib01,SortSeq_bin1
low quality barcode,875768,Fc-Lib01,SortSeq_bin1
unparseable barcode,330251,Fc-Lib01,SortSeq_bin1
failed chastity filter,0,Fc-Lib01,SortSeq_bin1
valid barcode,3072812,Fc-Lib01,SortSeq_bin2
invalid barcode,1926703,Fc-Lib01,SortSeq_bin2
low quality barcode,802621,Fc-Lib01,SortSeq_bin2
unparseable barcode,372977,Fc-Lib01,SortSeq_bin2
failed chastity filter,0,Fc-Lib01,SortSeq_bin2
unparseable barcode,1,Fc-Lib01,SortSeq_bin3
failed chastity filter,0,Fc-Lib01,SortSeq_bin3
invalid barcode,0,Fc-Lib01,SortSeq_bin3
low quality barcode,0,Fc-Lib01,SortSeq_bin3
valid barcode,0,Fc-Lib01,SortSeq_bin3
unparseable barcode,1,Fc-Lib01,SortSeq_bin4
failed chastity filter,0,Fc-Lib01,SortSeq_bin4
invalid barcode,0,Fc-Lib01,SortSeq_bin4
low quality barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,2914149,Fc-Lib01,TiteSeq_0.002410_bin1
invalid barcode,1797131,Fc-Lib01,TiteSeq_0.002410_bin1
low quality barcode,913311,Fc-Lib01,TiteSeq_0.002410_bin1
unparseable barcode,293083,Fc-Lib01,TiteSeq_0.002410_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002410_bin1
valid barcode,3149219,Fc-Lib01,TiteSeq_0.002410_bin2
invalid barcode,1938659,Fc-Lib01,TiteSeq_0.002410_bin2
low quality barcode,840000,Fc-Lib01,TiteSeq_0.002410_bin2
unparseable barcode,305503,Fc-Lib01,TiteSeq_0.002410_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002410_bin2
unparseable barcode,1,Fc-Lib01,TiteSeq_0.002410_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002410_bin3
invalid barcode,0,Fc-Lib01,TiteSeq_0.002410_bin3
low quality barcode,0,Fc-Lib01,TiteSeq_0.002410_bin3
valid barcode,0,Fc-Lib01,TiteSeq_0.002410_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.002410_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002410_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.002410_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.002410_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.002410_bin4
valid barcode,2878900,Fc-Lib01,TiteSeq_0.007240_bin1
invalid barcode,1771131,Fc-Lib01,TiteSeq_0.007240_bin1
low quality barcode,712656,Fc-Lib01,TiteSeq_0.007240_bin1
unparseable barcode,273303,Fc-Lib01,TiteSeq_0.007240_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.007240_bin1
valid barcode,2893681,Fc-Lib01,TiteSeq_0.007240_bin2
invalid barcode,1770754,Fc-Lib01,TiteSeq_0.007240_bin2
low quality barcode,738330,Fc-Lib01,TiteSeq_0.007240_bin2
unparseable barcode,275536,Fc-Lib01,TiteSeq_0.007240_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.007240_bin2
valid barcode,1563177,Fc-Lib01,TiteSeq_0.007240_bin3
invalid barcode,948554,Fc-Lib01,TiteSeq_0.007240_bin3
unparseable barcode,822979,Fc-Lib01,TiteSeq_0.007240_bin3
low quality barcode,411194,Fc-Lib01,TiteSeq_0.007240_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.007240_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.007240_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.007240_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.007240_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.007240_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.007240_bin4
valid barcode,2863612,Fc-Lib01,TiteSeq_0.02173_bin1
invalid barcode,1823593,Fc-Lib01,TiteSeq_0.02173_bin1
low quality barcode,797222,Fc-Lib01,TiteSeq_0.02173_bin1
unparseable barcode,284780,Fc-Lib01,TiteSeq_0.02173_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.02173_bin1
valid barcode,2897006,Fc-Lib01,TiteSeq_0.02173_bin2
invalid barcode,1762536,Fc-Lib01,TiteSeq_0.02173_bin2
low quality barcode,753668,Fc-Lib01,TiteSeq_0.02173_bin2
unparseable barcode,280342,Fc-Lib01,TiteSeq_0.02173_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.02173_bin2
valid barcode,3136884,Fc-Lib01,TiteSeq_0.02173_bin3
invalid barcode,1959940,Fc-Lib01,TiteSeq_0.02173_bin3
low quality barcode,1075000,Fc-Lib01,TiteSeq_0.02173_bin3
unparseable barcode,418270,Fc-Lib01,TiteSeq_0.02173_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.02173_bin3
unparseable barcode,2391857,Fc-Lib01,TiteSeq_0.02173_bin4
valid barcode,907332,Fc-Lib01,TiteSeq_0.02173_bin4
invalid barcode,551145,Fc-Lib01,TiteSeq_0.02173_bin4
low quality barcode,239708,Fc-Lib01,TiteSeq_0.02173_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.02173_bin4
valid barcode,2705547,Fc-Lib01,TiteSeq_0.06520_bin1
invalid barcode,1827200,Fc-Lib01,TiteSeq_0.06520_bin1
low quality barcode,781065,Fc-Lib01,TiteSeq_0.06520_bin1
