fate,count,library,sample
valid barcode,2527391,Fc-Lib01,SortSeq_bin1
invalid barcode,1578531,Fc-Lib01,SortSeq_bin1
low quality barcode,338935,Fc-Lib01,SortSeq_bin1
unparseable barcode,315880,Fc-Lib01,SortSeq_bin1
failed chastity filter,0,Fc-Lib01,SortSeq_bin1
valid barcode,2252627,Fc-Lib01,SortSeq_bin2
invalid barcode,1379984,Fc-Lib01,SortSeq_bin2
unparseable barcode,643929,Fc-Lib01,SortSeq_bin2
low quality barcode,292056,Fc-Lib01,SortSeq_bin2
failed chastity filter,0,Fc-Lib01,SortSeq_bin2
valid barcode,2351311,Fc-Lib01,SortSeq_bin3
unparseable barcode,1554300,Fc-Lib01,SortSeq_bin3
invalid barcode,1484384,Fc-Lib01,SortSeq_bin3
low quality barcode,354936,Fc-Lib01,SortSeq_bin3
failed chastity filter,0,Fc-Lib01,SortSeq_bin3
unparseable barcode,1,Fc-Lib01,SortSeq_bin4
failed chastity filter,0,Fc-Lib01,SortSeq_bin4
invalid barcode,0,Fc-Lib01,SortSeq_bin4
low quality barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,2744558,Fc-Lib01,TiteSeq_0.002141_bin1
invalid barcode,1709080,Fc-Lib01,TiteSeq_0.002141_bin1
low quality barcode,398751,Fc-Lib01,TiteSeq_0.002141_bin1
unparseable barcode,319400,Fc-Lib01,TiteSeq_0.002141_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002141_bin1
valid barcode,2892731,Fc-Lib01,TiteSeq_0.002141_bin2
invalid barcode,1795323,Fc-Lib01,TiteSeq_0.002141_bin2
unparseable barcode,413155,Fc-Lib01,TiteSeq_0.002141_bin2
low quality barcode,401106,Fc-Lib01,TiteSeq_0.002141_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002141_bin2
valid barcode,3007981,Fc-Lib01,TiteSeq_0.002141_bin3
unparseable barcode,2132932,Fc-Lib01,TiteSeq_0.002141_bin3
invalid barcode,1985605,Fc-Lib01,TiteSeq_0.002141_bin3
low quality barcode,428179,Fc-Lib01,TiteSeq_0.002141_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002141_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.002141_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002141_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.002141_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.002141_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.002141_bin4
valid barcode,2521199,Fc-Lib01,TiteSeq_0.006422_bin1
invalid barcode,1593770,Fc-Lib01,TiteSeq_0.006422_bin1
low quality barcode,398956,Fc-Lib01,TiteSeq_0.006422_bin1
unparseable barcode,293222,Fc-Lib01,TiteSeq_0.006422_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006422_bin1
valid barcode,2342129,Fc-Lib01,TiteSeq_0.006422_bin2
invalid barcode,1443636,Fc-Lib01,TiteSeq_0.006422_bin2
low quality barcode,335403,Fc-Lib01,TiteSeq_0.006422_bin2
unparseable barcode,268795,Fc-Lib01,TiteSeq_0.006422_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006422_bin2
valid barcode,2758147,Fc-Lib01,TiteSeq_0.006422_bin3
unparseable barcode,2346004,Fc-Lib01,TiteSeq_0.006422_bin3
invalid barcode,1805673,Fc-Lib01,TiteSeq_0.006422_bin3
low quality barcode,375801,Fc-Lib01,TiteSeq_0.006422_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006422_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.006422_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006422_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.006422_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.006422_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.006422_bin4
valid barcode,2893949,Fc-Lib01,TiteSeq_0.01926_bin1
invalid barcode,1798351,Fc-Lib01,TiteSeq_0.01926_bin1
low quality barcode,402163,Fc-Lib01,TiteSeq_0.01926_bin1
unparseable barcode,321582,Fc-Lib01,TiteSeq_0.01926_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01926_bin1
valid barcode,2568396,Fc-Lib01,TiteSeq_0.01926_bin2
invalid barcode,1590985,Fc-Lib01,TiteSeq_0.01926_bin2
low quality barcode,356842,Fc-Lib01,TiteSeq_0.01926_bin2
