fate,count,library,sample
valid barcode,5743832,Fc-Lib01,SortSeq_bin1
invalid barcode,3594713,Fc-Lib01,SortSeq_bin1
low quality barcode,903959,Fc-Lib01,SortSeq_bin1
unparseable barcode,593531,Fc-Lib01,SortSeq_bin1
failed chastity filter,0,Fc-Lib01,SortSeq_bin1
valid barcode,2901273,Fc-Lib01,SortSeq_bin2
invalid barcode,1843741,Fc-Lib01,SortSeq_bin2
unparseable barcode,628351,Fc-Lib01,SortSeq_bin2
low quality barcode,438289,Fc-Lib01,SortSeq_bin2
failed chastity filter,0,Fc-Lib01,SortSeq_bin2
unparseable barcode,1,Fc-Lib01,SortSeq_bin3
failed chastity filter,0,Fc-Lib01,SortSeq_bin3
invalid barcode,0,Fc-Lib01,SortSeq_bin3
low quality barcode,0,Fc-Lib01,SortSeq_bin3
valid barcode,0,Fc-Lib01,SortSeq_bin3
unparseable barcode,1,Fc-Lib01,SortSeq_bin4
failed chastity filter,0,Fc-Lib01,SortSeq_bin4
invalid barcode,0,Fc-Lib01,SortSeq_bin4
low quality barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,4597740,Fc-Lib01,TiteSeq_0.002176_bin1
invalid barcode,2879937,Fc-Lib01,TiteSeq_0.002176_bin1
low quality barcode,767417,Fc-Lib01,TiteSeq_0.002176_bin1
unparseable barcode,480593,Fc-Lib01,TiteSeq_0.002176_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002176_bin1
valid barcode,4907949,Fc-Lib01,TiteSeq_0.002176_bin2
invalid barcode,3062167,Fc-Lib01,TiteSeq_0.002176_bin2
low quality barcode,713872,Fc-Lib01,TiteSeq_0.002176_bin2
unparseable barcode,503342,Fc-Lib01,TiteSeq_0.002176_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002176_bin2
unparseable barcode,4188965,Fc-Lib01,TiteSeq_0.002176_bin3
valid barcode,9999,Fc-Lib01,TiteSeq_0.002176_bin3
invalid barcode,6528,Fc-Lib01,TiteSeq_0.002176_bin3
low quality barcode,1535,Fc-Lib01,TiteSeq_0.002176_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002176_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.002176_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.002176_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.002176_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.002176_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.002176_bin4
valid barcode,4543171,Fc-Lib01,TiteSeq_0.006527_bin1
invalid barcode,2876522,Fc-Lib01,TiteSeq_0.006527_bin1
low quality barcode,762731,Fc-Lib01,TiteSeq_0.006527_bin1
unparseable barcode,462182,Fc-Lib01,TiteSeq_0.006527_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006527_bin1
valid barcode,5010187,Fc-Lib01,TiteSeq_0.006527_bin2
invalid barcode,3082051,Fc-Lib01,TiteSeq_0.006527_bin2
low quality barcode,720892,Fc-Lib01,TiteSeq_0.006527_bin2
unparseable barcode,518145,Fc-Lib01,TiteSeq_0.006527_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006527_bin2
unparseable barcode,3840014,Fc-Lib01,TiteSeq_0.006527_bin3
valid barcode,8406,Fc-Lib01,TiteSeq_0.006527_bin3
invalid barcode,5250,Fc-Lib01,TiteSeq_0.006527_bin3
low quality barcode,1255,Fc-Lib01,TiteSeq_0.006527_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006527_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.006527_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006527_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.006527_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.006527_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.006527_bin4
valid barcode,3173789,Fc-Lib01,TiteSeq_0.01958_bin1
invalid barcode,2038072,Fc-Lib01,TiteSeq_0.01958_bin1
low quality barcode,487669,Fc-Lib01,TiteSeq_0.01958_bin1
unparseable barcode,328838,Fc-Lib01,TiteSeq_0.01958_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01958_bin1
valid barcode,5054874,Fc-Lib01,TiteSeq_0.01958_bin2
invalid barcode,3126459,Fc-Lib01,TiteSeq_0.01958_bin2
low quality barcode,719614,Fc-Lib01,TiteSeq_0.01958_bin2
unparseable barcode,510178,Fc-Lib01,TiteSeq_0.01958_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01958_bin2
unparseable barcode,3932517,Fc-Lib01,TiteSeq_0.01958_bin3
valid barcode,42198,Fc-Lib01,TiteSeq_0.01958_bin3
invalid barcode,28648,Fc-Lib01,TiteSeq_0.01958_bin3
low quality barcode,6648,Fc-Lib01,TiteSeq_0.01958_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01958_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.01958_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01958_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.01958_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.01958_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.01958_bin4
valid barcode,3864992,Fc-Lib01,TiteSeq_0.05875_bin1
invalid barcode,2630533,Fc-Lib01,TiteSeq_0.05875_bin1
low quality barcode,558762,Fc-Lib01,TiteSeq_0.05875_bin1
unparseable barcode,489914,Fc-Lib01,TiteSeq_0.05875_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05875_bin1
valid barcode,4441613,Fc-Lib01,TiteSeq_0.05875_bin2
invalid barcode,2748379,Fc-Lib01,TiteSeq_0.05875_bin2
