fate,count,library,sample
valid barcode,3673872,Fc-Lib01,SortSeq_bin1
invalid barcode,2297957,Fc-Lib01,SortSeq_bin1
low quality barcode,531636,Fc-Lib01,SortSeq_bin1
unparseable barcode,327300,Fc-Lib01,SortSeq_bin1
failed chastity filter,0,Fc-Lib01,SortSeq_bin1
valid barcode,4725198,Fc-Lib01,SortSeq_bin2
invalid barcode,2985770,Fc-Lib01,SortSeq_bin2
low quality barcode,604986,Fc-Lib01,SortSeq_bin2
unparseable barcode,593267,Fc-Lib01,SortSeq_bin2
failed chastity filter,0,Fc-Lib01,SortSeq_bin2
unparseable barcode,1,Fc-Lib01,SortSeq_bin3
failed chastity filter,0,Fc-Lib01,SortSeq_bin3
invalid barcode,0,Fc-Lib01,SortSeq_bin3
low quality barcode,0,Fc-Lib01,SortSeq_bin3
valid barcode,0,Fc-Lib01,SortSeq_bin3
unparseable barcode,1,Fc-Lib01,SortSeq_bin4
failed chastity filter,0,Fc-Lib01,SortSeq_bin4
invalid barcode,0,Fc-Lib01,SortSeq_bin4
low quality barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,0,Fc-Lib01,SortSeq_bin4
valid barcode,4115750,Fc-Lib01,TiteSeq_0.006461_bin1
invalid barcode,2649646,Fc-Lib01,TiteSeq_0.006461_bin1
low quality barcode,591978,Fc-Lib01,TiteSeq_0.006461_bin1
unparseable barcode,370663,Fc-Lib01,TiteSeq_0.006461_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006461_bin1
valid barcode,4327209,Fc-Lib01,TiteSeq_0.006461_bin2
invalid barcode,2669899,Fc-Lib01,TiteSeq_0.006461_bin2
low quality barcode,611376,Fc-Lib01,TiteSeq_0.006461_bin2
unparseable barcode,382558,Fc-Lib01,TiteSeq_0.006461_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006461_bin2
unparseable barcode,4031849,Fc-Lib01,TiteSeq_0.006461_bin3
valid barcode,130673,Fc-Lib01,TiteSeq_0.006461_bin3
invalid barcode,73032,Fc-Lib01,TiteSeq_0.006461_bin3
low quality barcode,18734,Fc-Lib01,TiteSeq_0.006461_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006461_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.006461_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.006461_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.006461_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.006461_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.006461_bin4
valid barcode,4058044,Fc-Lib01,TiteSeq_0.01938_bin1
invalid barcode,2683429,Fc-Lib01,TiteSeq_0.01938_bin1
low quality barcode,561896,Fc-Lib01,TiteSeq_0.01938_bin1
unparseable barcode,388162,Fc-Lib01,TiteSeq_0.01938_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01938_bin1
valid barcode,4066110,Fc-Lib01,TiteSeq_0.01938_bin2
invalid barcode,2508191,Fc-Lib01,TiteSeq_0.01938_bin2
low quality barcode,594024,Fc-Lib01,TiteSeq_0.01938_bin2
unparseable barcode,360225,Fc-Lib01,TiteSeq_0.01938_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01938_bin2
unparseable barcode,912194,Fc-Lib01,TiteSeq_0.01938_bin3
valid barcode,607524,Fc-Lib01,TiteSeq_0.01938_bin3
invalid barcode,296601,Fc-Lib01,TiteSeq_0.01938_bin3
low quality barcode,84476,Fc-Lib01,TiteSeq_0.01938_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01938_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.01938_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01938_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.01938_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.01938_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.01938_bin4
valid barcode,3605849,Fc-Lib01,TiteSeq_0.05815_bin1
invalid barcode,2559664,Fc-Lib01,TiteSeq_0.05815_bin1
low quality barcode,484655,Fc-Lib01,TiteSeq_0.05815_bin1
unparseable barcode,365426,Fc-Lib01,TiteSeq_0.05815_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05815_bin1
valid barcode,3800740,Fc-Lib01,TiteSeq_0.05815_bin2
invalid barcode,2356892,Fc-Lib01,TiteSeq_0.05815_bin2
low quality barcode,547073,Fc-Lib01,TiteSeq_0.05815_bin2
unparseable barcode,329759,Fc-Lib01,TiteSeq_0.05815_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05815_bin2
valid barcode,4266447,Fc-Lib01,TiteSeq_0.05815_bin3
invalid barcode,2641300,Fc-Lib01,TiteSeq_0.05815_bin3
low quality barcode,602506,Fc-Lib01,TiteSeq_0.05815_bin3
unparseable barcode,394202,Fc-Lib01,TiteSeq_0.05815_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05815_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.05815_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05815_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.05815_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.05815_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.05815_bin4
valid barcode,2776990,Fc-Lib01,TiteSeq_0.1744_bin1
invalid barcode,2015566,Fc-Lib01,TiteSeq_0.1744_bin1
low quality barcode,379765,Fc-Lib01,TiteSeq_0.1744_bin1
unparseable barcode,366207,Fc-Lib01,TiteSeq_0.1744_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1744_bin1
valid barcode,3776382,Fc-Lib01,TiteSeq_0.1744_bin2
invalid barcode,2439528,Fc-Lib01,TiteSeq_0.1744_bin2
low quality barcode,477502,Fc-Lib01,TiteSeq_0.1744_bin2
unparseable barcode,331061,Fc-Lib01,TiteSeq_0.1744_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1744_bin2
valid barcode,4517452,Fc-Lib01,TiteSeq_0.1744_bin3
invalid barcode,2772685,Fc-Lib01,TiteSeq_0.1744_bin3
low quality barcode,615658,Fc-Lib01,TiteSeq_0.1744_bin3
unparseable barcode,393837,Fc-Lib01,TiteSeq_0.1744_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1744_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.1744_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1744_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.1744_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.1744_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.1744_bin4
valid barcode,4183206,Fc-Lib01,TiteSeq_0.5233_bin1
invalid barcode,3020700,Fc-Lib01,TiteSeq_0.5233_bin1
low quality barcode,607099,Fc-Lib01,TiteSeq_0.5233_bin1
unparseable barcode,467843,Fc-Lib01,TiteSeq_0.5233_bin1
