library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
Fc-Lib01,SortSeq_bin1,SortSeq,1,0,230410,906600,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/p23096-s038_11-1_S249_L002_R2_001.fastq.gz
Fc-Lib01,SortSeq_bin2,SortSeq,2,0,230410,25400,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/p23096-s039_11-2_S250_L002_R2_001.fastq.gz
Fc-Lib01,SortSeq_bin3,SortSeq,3,0,230410,500,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/p23096-s040_11-3_S251_L002_R2_001.fastq.gz
Fc-Lib01,SortSeq_bin4,SortSeq,4,0,230410,1,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/sparefile_conc0_bin4.fastq.gz
Fc-Lib01,TiteSeq_0.002141_bin1,TiteSeq,1,0.00214051193560796,230410,877400,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/p23096-s035_10-1_S246_L002_R2_001.fastq.gz
Fc-Lib01,TiteSeq_0.002141_bin2,TiteSeq,2,0.00214051193560796,230410,97700,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/p23096-s036_10-2_S247_L002_R2_001.fastq.gz
Fc-Lib01,TiteSeq_0.002141_bin3,TiteSeq,3,0.00214051193560796,230410,700,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/p23096-s037_10-3_S248_L002_R2_001.fastq.gz
Fc-Lib01,TiteSeq_0.002141_bin4,TiteSeq,4,0.00214051193560796,230410,1,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/sparefile_conc1_bin4.fastq.gz
Fc-Lib01,TiteSeq_0.006422_bin1,TiteSeq,1,0.00642153580682387,230410,771100,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/p23096-s032_9-1_S243_L002_R2_001.fastq.gz
Fc-Lib01,TiteSeq_0.006422_bin2,TiteSeq,2,0.00642153580682387,230410,206400,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/p23096-s033_9-2_S244_L002_R2_001.fastq.gz
Fc-Lib01,TiteSeq_0.006422_bin3,TiteSeq,3,0.00642153580682387,230410,900,/home/adkeith@Eu.Emory.Edu/DMS_Workflow/Fc_Data/example_titration/p23096-s034_9-3_S245_L002_R2_001.fastq.gz
